job_description,position_title
"vita healthcare group is a leading name in the skilled nursing world providing world class nursing care to the community for over a decade

we are seeking a dedicated accountant to assist in the operating of our facilities

if you are looking for an incredible office environment paid training and incredible room for growth this may be the position for you

the accountant is a key team member responsible for providing accounting and guidance to community management as it relates to the overall activities and programs of the community

accountant responsibilities
 provide accounting support and training to communities
 assist and support community executive directors and office managers
 prepare journal entries maintain accounts and facilitate monthly financial calls
 accounts payable and receivable account reconciliation and filing
 process and maintain community payrolls in compliance with company policies and state regulations

accountant qualifications
 prior accounting or bookkeeping experience
 associate or bachelors degree preferred or at least  years accounting experience
 ability to communicate effectively and concisely by both written and oral means with communities associates and vendors
 proficiency in accounting software and tools such as yardi quickbooks and microsoft excel
 organized able to prioritize and work as part of a team in an informal environment

accountant benefits
 competitive wages
 health insurance for those eligible
 voluntary benefits disability accident life
 
 generous paid time off",Accountant
"just an idea

job details
job type
parttime
qualifications
case management  year preferredspanish preferred
indeeds salary guide
not provided by employer   a year is indeeds estimated salary for this role in brooklyn nyreport inaccurate salary
full job description
position summary under the supervision of the director the assistant patient advocate shall ensure that patients are aware of and empowered to exercise their rights nysdoh  heshe shall address patientsurrogate questions concerns and complaints and work toward mutually acceptable solutions nysdoh patients bill of rights and jcaho standard
dutiesresponsibilities
 serves as a liaison between patients their families and medical center staff striving to make the medical center user friendly
 assists in interpreting the hospitals policies and procedures for the requested
 assists patientsurrogate in understanding their rights and responsibilities
 investigates concerns and complaints articulated by patients and their surrogates involves appropriate medical center staff and departments as necessary works to achieve mutually satisfactory resolution
 provide assistance when requested to patients desiring to complete an advance directive
 when requested by patientsurrogate provides a written response of the findings of an investigation if patientsurrogate is not satisfied with response refers them to the new york state department of healths office  
 assists in referring patientsurrogate to appropriate services and resources responds himherself when other alternatives are not available
 documents patientsurrogate interactions using departmentally established procedures and timelines
 refers to interpreters list to provide interpreters when language barriers present communication problems
 evaluates and interprets information gathered from patientsurrogate interactions in order to spot patterns and trends
 performs all other duties as required

formal education and jobrelated experience  this position requires a minimum formal education of associate degree or certification equivalent and a minimum of  years jobrelated experience

desired not required criteria include
bachelors degree preferredbilingual englishspanish beneficialcomputer knowledge windows wordperfect relevant work experience
job type parttime
schedule
 hour shiftability to commuterelocate
brooklyn ny  reliably commute or planning to relocate before starting work preferredexperience
patient case managers  advocates  year preferredcase management  year preferredlanguage
spanish preferredwork location one location
hiring insights
application response rate 
hiring  candidate for this role
urgently hiring
",Part-time   Patient Advocate
"this position will cover womens health and clinical accounts throughout columbus oh remote

schedule monday  friday  to  some nights and weekends required some occasional overnight travel required sales meetings

position summary

the account executive will be responsible for maintaining existing accounts as well as closing new business in the womens health and primary care call points aes will drive key tests products and services in the aforementioned specialties and will call on physician offices

position responsibilities

duties include but are not necessarily limited to the following

drive sales in assigned districts through up selling of existing accounts new lead generation referrals and establishing relationships with prospective customers
target and close new business opportunities
partner with and notify manager of complex issues or when fulltouch service is required in an associated institution
provide problem resolution for client concernsquestions including but not limited to requisition review to determine tests orderedmissed ask at order entry discrepancy transportation concerns technical services inquiries and test codespecimen collection inquiries missingincorrect billing information and other billing inquiries
provide subject matter expertise
maintain and pursue knowledge in associated specialist testing area
maintain a breadth of knowledge of all connectivity products ie careevolve storm
prepare and present proposals and bids
ensure compliance with company polices and government regulations
complete all administrative tasks thoroughly and promptly

minimum qualifications

bachelors degree in a business or science major
 years of businesstobusiness outside sales experience
 years of combined sales experience within womens health or clinical diagnostics
must have a clean valid driver license and a vehicle to use for work on a daily basis
ability to travel within the assigned territory and occasional overnight travel for meetings

preferred qualifications

knowledge of healthcare industry and general economics of business
existing relationships within the medical community in the covered territory
ability to develop and sustain strong customer relationships strong planning and organizational skills
excellent oral and written communication and presentation skills
solid pc skills including word excel powerpoint

competencies

influence customer focus negotiating skills problem solving confidence drive for results

bioreference laboratories is an equal opportunity employer

equal opportunity employer minoritieswomenprotected veteransdisabled","Account Executive, Urology - Ohio and parts of W.PA, W.VA"
"about working at commerce

wouldnt it be great to build your career at a bank thats known for helping people with their financial challenges thats exactly what youd be doing when you join the team at commerce bank were looking for teammates who are ready to do whatever it takes to help our customers with their everyday financial needs youd be helping yourself too because commerce has a tradition of recognizing and rewarding team members for their talent skills and contributions

no wonder weve been an industry leader for over  years and have developed a reputation as a great place to work in the financial services world if youd like to be a part of a team and culture that is respected by its peers and in your community we should talk were always looking for the best and brightest

about this job

in partnership with a team of relationships managers rm this position is responsible for managing and servicing a portfolio of commercial customers including expanding building and maintaining strong customer relationships with a resulting high level of customer satisfaction this position equates to an rm position in all aspects with the exception of sales responsibilities

essential functions

utilize a high degree of critical thinking skills in managing a large portfolio of diverse and complex commercial relationships

participate and target customer prospect calling activities with relationship manager as appropriate especially those with active new credit opportunities

serve as the primary advisor for a specific number of commercial relationships ensure a high level of customer satisfaction and retention work with team leader on a semiannual basis to assure that all appropriate products and services are being crosssold to those relationships

handle customer service requests for existing relationships including loan renewals and modifications

work with regional managers on credit requests including general underwriting loan structuring negotiatingpricing collateral and analyze industrycredit risk

complete all requirements of loan booking including negotiating terms the review of loan documentation and assist in the closing process

manage annual credit review schedule for team of relationship managers prepare loan presentations and credit reviews as necessary

handle reporting on loans involving such things as past dues documentation and collateral exceptions financial performance updates portfolio profitability etc

work with respective regional managers in the credit management of all watch list credits

ensure compliance with all bank policies procedures regulations and laws

perform other duties as assigned

knowledge skills  abilities required

strong knowledge of full range of commercial products credit policies procedures and terminology

ability to maintain a valid drivers license and meet commerce banks driving record criteria ongoing employment may be contingent upon meeting all driving requirements

excellent analytical and problemsolving skills

strong developed negotiation skills

strong independent decisionmaking skills with minimal management oversight

motivated and organized selfstarter with strong attention to detail and the ability to manage multiple priorities

inquisitive agile and strong team player with excellent written verbal and interpersonal communication skills

ability to remain adaptable and resilient to all situations with an optimistic outlook and cast a positive shadow that is aligned with our culture and core values

intermediate level proficiency with microsoft word excel and outlook

education  experience

bachelors degree or equivalent combination of education and experience required

 years of commercial banking experience required

for this position federal regulations require commerce bank to prepare an investigatory consumer report which will disclose credit history if you express interest in and are considered for this position you will be asked to authorize that report

for this position commerce bank will review your motor vehicle driving record if you express interest in and are considered for this position youll be asked to authorize our review of that record

location  forsyth st louis missouri 

time type
full time",Business Banking Relationship Manager
"overview
location of construction pm currently seeking construction project managers currently located in the northeast market near a major airport
 
travel extensive travel typically overnight tuesdaythursday weekly with potentially more travel as needed based on business needs
 
this manager of construction projects is responsible for visiting budgeting developing plans conducting formal bidding managing construction activities and conducting all contract administration including contract modifications and pay applications for new relocated and construction projects at existing stores 

responsibilities
direct general contractors architects and vendors to complete construction projects while meeting contract requirements and tractor supply company tsc required timelinesreview construction contracts and pay requests per the detailed and dynamic contract checklists and pay application checklistsreview and monitor projects by developers and landlord contractors for compliance with tsc building requirements and schedules conduct a thorough review of all hard copy documents and well as the electronic information such as the weekly project reportsnegotiate review and approve change orders for both prototype and retrofit projects as well as special projects per the change order processperform a thorough review of all new store plans including civil architecture engineering ae mechanical electrical and plumbing mpe etcupdate the standard criteria plans scp quarterly to ensure tsc stores are designed effectively and efficientlycomplete all necessary documentation and coordination for tsc zoning approvalprepare bid information per tscs standard bidding process using our standard invitation to bid form and plans and applicable addendumsprepare bid information for tsc owned stores including bid books and all relevant documentation to be sent to the bidding general contractorssurvey existing buildings and prepare scope of work provide a complete review of the building including roof inspection hvac inspections etcbudget for remodeled buildings to build out for new tsc storesparticipate and contribute to the continual cost efficiency and design reviews for all construction via weekly construction and cross departmental meetingsprocess closeout documents ensuring all items per the closeout checklist is complete and manage the month warranty process for all retrofit projectsstore and file all important materials in project files and send final plans to external vendor for data backup after the project is complete
qualifications
experience  years of related business experience
 
education bachelors degree from an accredited college or university in construction management or related field is preferred
any suitable combination of education and experience will be considered
  
other knowledge skills or abilities
knowledge of commercial construction methods costs contract documentation and processesknowledge of plan reading basic sketching and construction terminologyproficient in microsoft officestrong negotiation communication problemsolving time management and interpersonal skillsability to prioritize tasksdeadline  detailoriented approach to workability to travel extensively", Construction Project Manager
"we go beyond the obvious using intelligence passion and creativity to inspire new thinking and shape the world we live in to start a career that is out of the ordinary please apply
 job details
 job title ecommerce consultant
 job location remote can be based anywhere in usa
 about us  kantar

kantar is a data and evidencebased agency providing insights and actionable recommendations to clients worldwide we have a complete unique and rounded understanding of people around the world how they think feel and act globally and locally in over  markets we dont just help clients understand whats happened we tell them why and how they can shape the future
 divisionkantar na retail

kantar na retail sales  shopper specializes in all things commerce  shopper category and retailer we help our clients unlock growth and drive commerce more effectively and profitably we succeed by connecting a world class set of retail and shopper capabilities and assets with passionate solutionoriented people who are driven to win
 about the role

we are seeking a consultant in ecommerce in this role you will be responsible to manage  deliver projects to support longterm client relationships you will build mastery of the full kantar na retail offer support client management orchestrate project proposals and support overall project management and deliver in conjunction with a team of kantar consultants and analysts this role is focused on partnering with clients to solve omni commerce and ecommerce challenges
 key accountabilities

 responsible to manage and deliver projects

 she will develop project leads support the vision for the story contribute to proposals and support to lead overall project management in conjunction with a team of delivery consultants and analysts
 have the hunger humility and emotional intelligence to support client relationships and become a trusted advisor of key kantar clients
 over time you will learn to identify opportunities for new projects qualify new business leads demonstrate kantars capabilities to help solve their issues and guide clients through to a sale supported by senior consultants
 lead multifaceted projects utilizing the various resources within kantar na retail to deliver customized solutions for our clients in a high quality timely fashion support objectives and vision for projects and ensure resources understand deliverables and timelines
 understand client issues and how to optimally apply the kantar na retail offer to solve the central business question must be creative and nimble enough to address client issues if necessary
 learn and ultimately champion the kantar na retail offer and develop our people through formal and informal training and coaching
 capabilities

 the preferred candidate will be a dynamic selfdriven consultative and handson business professional with   years of experience in the retail industry with relevant experiences in ecommerce
 knowledge skills  experience

 midlevel sales marketing consulting andor ecommerce experience at premier manufacturers service providers retailers or consultancies

 experience across a diverse range of verticals including but not limited to ecomm strategyretail consumer packaged goods management consulting traditional retail service agencies media financial services etc
 mastery of a translatable multidiscipline skillset  understanding sales marketing category management ecommerce and insights
 growing on journey to a consultative operating style with strong presence delivers superb oral and written communications presentations listening and influencing skills
 education

 bachelors degree required
 values  behavior

the preferred candidate will embody these core values and behaviors

 business leadership supports a highperformance culture demonstrates strong business acumen is an inspiring role model highly accountable taking responsibility for actions and decisions

 thought leadership generates enthusiasm and excitement for doing new things in new ways is intellectually curious stay ahead of the game anticipating client needs acts as an emerging trusted advisor  building developing growing trust and having impact with clients opportunistically identifies and develops new revenue opportunities from both existing and new clients
 communication  personal effectiveness deals with issues constructively seeking effective resolution and swift decision making listens effectively suspending own point of view and agenda demonstrates flexibility and agility
 motivation selfmotivated energetic often goes above and beyond the call of duty
 high emotional intelligence high degree of selfawareness and selfcontrol sensitive to the needs and motivations of others perceptive a good judge of group dynamics and impact of words and actions a natural teammate
 kantar benefits

we provide a comprehensive highly competitive benefits package including

 medical plans with comprehensive affordable coverage for a range of health services

 health savings accountfsa
 dental vision and benefits to cover unique healthcare needs
 wellness program
  with matching
 tuition reimbursement commuter benefits
 unlimited pto
 privacy disclosure

please note that by applying to this opportunity you consent to the personal data you provide to us to be processed and retained by the kantar group limited kantar your details will be kept on our internal ats applicant tracking system for as long as is necessary for the purposes of recruitment which may include your details being shared with the hiring manager
 kantar rewards statement

at kantar we have an integrated way of rewarding our people based around a simple clear and consistent set of principles our approach helps to ensure we are market competitive and alsoto support a pay for performance culture where your reward and career progression opportunities are linked to what you deliver

we go beyond the obvious using intelligence passion and creativity to inspire new thinking and shape the world we live in apply for a career thats out of the ordinary and join us

we want to create an equality of opportunity in a fair and supportive working environment where people feel included accepted and are allowed to flourish in a space where their mental health andwell beingis taken into consideration

we want to create a more diverse community to expand our talent pool be locally representative drive diversity of thinking and better commercial outcomes

kantar is the worlds leading data insights and consulting company we understand more about how people think feel shop share vote and view than anyone else combining our expertise in human understanding with advanced technologies kantars  people help the worlds leading organisations succeed and grow",Ecommerce Consultant
"type of requisition regular

clearance level must be able to obtain none

job family web design

gdit has over  years of experience supporting the technology science and mission of the environmental protection agency gdit technologists scientists and innovators are experts in moving applications to the cloud modeling massive data sets in highperformance computing environments supporting innovative and bleeding edge technologies and scientific initiatives defending the cyber landscape and driving automation

highlevel skills
 htmlcssjavascript
 drupal 
 section  compliance expertise pertaining to pdfs adobe acrobat pro videos interactive trainings websites and web applications jaws dragon zoomtext articulate
 graphics design adobe photoshop illustrator after effects and lightroom

specific tasks
 designs and builds complex graphics page layouts and animation that suit web pages and enhance its layout to create visual appeal
 creates an advanced detailed draft of the website outlining the various web pages according to client specifications and needs
 provides thorough testing to ensure the website is userfriendly and interactive
 provides thorough review of the final webpage design for the next level production
 collaborates with other web professionals and provide guidance on the implementation of the website
 stays current with the latest design software to improve in knowledge and skills and be able to create better design quality
 provides guidance and leadership to lessexperienced web designer personnel

desired qualifications 

babs or equivalent experience  years of experience

additional job description

covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements

we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done

gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class

covid vaccination gdit does not have a vaccination mandate applicable to all employees to protect the health and safety of its employees and to comply with customer requirements however gdit may require employees in certain positions to be fully vaccinated against covid vaccination requirements will depend on the status of the federal contractor mandate and customer site requirements

we are gdit the people supporting some of the most complex government defense and intelligence projects across the country we deliver bringing the expertise needed to understand and advance critical missions we transform shifting the ways clients invest in integrate and innovate technology solutions we ensure today is safe and tomorrow is smarter we are there on the ground beside our clients in the lab and everywhere in between offering the technology transformations strategy and mission services needed to get the job done

gdit is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or veteran status or any other protected class",SR. Web Designer
